Code,Country,Power Consumption KWH,Text
AFG,Afghanistan,3893000000,Afghanistan 3893000000
ALB,Albania,7793000000,Albania 7793000000
DZA,Algeria,42870000000,Algeria 42870000000
ASM,American,146000000,American 146000000
AND,Andorra,562400000,Andorra 562400000
AGO,Angola,4842000000,Angola 4842000000
AIA,Antigua,293000000,Antigua 293000000
ATG,Argentina,1.171E+11,Argentina 117100000000
ARG,Armenia,5043000000,Armenia 5043000000
ARM,Aruba,920700000,Aruba 920700000
ABW,Australia,2.226E+11,Australia 222600000000
AUS,Austria,69750000000,Austria 69750000000
AUT,Azerbaijan,17790000000,Azerbaijan 17790000000
AZE,Bahamas,1716000000,Bahamas 1716000000
BHR,Bahrain,11690000000,Bahrain 11690000000
BGD,Bangladesh,41520000000,Bangladesh 41520000000
BRB,Barbados,938000000,Barbados 938000000
BLR,Belarus,37880000000,Belarus 37880000000
BEL,Belgium,81890000000,Belgium 81890000000
BLZ,Belize,605000000,Belize 605000000
BEN,Benin,911000000,Benin 911000000
BMU,Bermuda,664200000,Bermuda 664200000
BTN,Bhutan,2085000000,Bhutan 2085000000
BOL,Bolivia,6456000000,Bolivia 6456000000
BIH,Bosnia,12560000000,Bosnia 12560000000
BWA,Botswana,3213000000,Botswana 3213000000
BRA,Brazil,4.835E+11,Brazil 483500000000
VGB,British,51150000,British 51150000
BRN,Brunei,3766000000,Brunei 3766000000
BGR,Bulgaria,37990000000,Bulgaria 37990000000
BFA,Burkina,985500000,Burkina 985500000
MMR,Burma,7765000000,Burma 7765000000
BDI,Burundi,282900000,Burundi 282900000
CPV,Cabo,285500000,Cabo 285500000
KHM,Cambodia,3553000000,Cambodia 3553000000
CMR,Cameroon,5535000000,Cameroon 5535000000
CAN,Canada,5.11E+11,Canada 511000000000
CYM,Cayman,545900000,Cayman 545900000
CAF,Central,168300000,Central 168300000
TCD,Chad,190700000,Chad 190700000
CHL,Chile,63390000000,Chile 63390000000
CHN,China,5.523E+12,China 5523000000000
COL,Colombia,49380000000,Colombia 49380000000
COM,Comoros,39990000,Comoros 39990000
COD,Congo,740000000,Congo 740000000
COK,Cook,28950000,Cook 28950000
CRI,Costa,8987000000,Costa 8987000000
CIV,Cote,4731000000,Cote 4731000000
HRV,Croatia,16970000000,Croatia 16970000000
CUB,Cuba,16200000000,Cuba 16200000000
CUW,Curacao,968000000,Curacao 968000000
CYP,Cyprus,4296000000,Cyprus 4296000000
CZE,Czechia,60550000000,Czechia 60550000000
DNK,Denmark,31960000000,Denmark 31960000000
DJI,Djibouti,311600000,Djibouti 311600000
DMA,Dominica,89750000,Dominica 89750000
DOM,Dominican,15140000000,Dominican 15140000000
ECU,Ecuador,19020000000,Ecuador 19020000000
EGY,Egypt,1.356E+11,Egypt 135600000000
SLV,Elsalvador,5665000000,Elsalvador 5665000000
GNQ,Equatorial,93000000,Equatorial 93000000
ERI,Eritrea,284000000,Eritrea 284000000
EST,Estonia,7417000000,Estonia 7417000000
ETH,Ethiopia,5227000000,Ethiopia 5227000000
FLK,Falkland,11160000,Falkland 11160000
FRO,Faroe,261300000,Faroe 261300000
FJI,Fiji,777600000,Fiji 777600000
FIN,Finland,82040000000,Finland 82040000000
FRA,France,4.511E+11,France 451100000000
